m,n,k,time (s),gigapixels per second
1024,768,3,0.000828,0.949498
1024,768,5,0.000335,2.346473
1024,768,7,0.000460,1.711149
1024,768,9,0.000913,0.861511
1024,768,11,0.000000,13329.355932
1024,768,13,0.000000,34192.695652
1024,768,15,0.000000,52428.800000
2048,2048,3,0.001150,3.646517
2048,2048,5,0.001670,2.511225
2048,2048,7,0.002427,1.728481
2048,2048,9,0.004740,0.884857
2048,2048,11,0.000000,40329.846154
2048,2048,13,0.000000,279620.266667
2048,2048,15,0.000000,279620.266667
8192,8192,3,0.080317,0.835545
8192,8192,5,0.028114,2.386987
8192,8192,7,0.040704,1.648712
8192,8192,9,0.078626,0.853518
8192,8192,11,0.000000,392449.497076
8192,8192,13,0.000000,3050402.909091
8192,8192,15,0.000000,4793490.285714
4194304,768,3,1.455151,2.213671
4194304,768,5,1.962417,1.641458
4194304,768,7,2.504252,1.286303
4194304,768,9,4.420391,0.728720
4194304,768,11,0.000001,3547605.145374
4194304,768,13,0.000000,153391689.142857
4194304,768,15,0.000000,146419339.636364
16777216,768,3,7.718124,1.669435
16777216,768,5,8.646394,1.490205
16777216,768,7,8.855717,1.454981
16777216,768,9,18.446634,0.698496
16777216,768,11,0.000000,57266230.613333
16777216,768,13,0.000000,715827882.666667
16777216,768,15,0.000000,757935405.176471
