m,n,k,time (s),gigapixels per second
1024,768,3,0.000328,2.39765853658537
1024,768,5,0.000185,4.25098378378378
1024,768,7,0.000328,2.39765853658537
1024,768,9,0.00054,1.45635555555556
1024,768,11,0.000824,0.954407766990291
1024,768,13,0.001152,0.682666666666667
1024,768,15,0.00154,0.51067012987013
2048,2048,3,0.000704,5.95781818181818
2048,2048,5,0.001131,3.70849160035367
2048,2048,7,0.00188,2.23101276595745
2048,2048,9,0.002994,1.40090313961256
2048,2048,11,0.004536,0.924670194003527
2048,2048,13,0.006291,0.666714989667779
2048,2048,15,0.00835,0.502311856287425
8192,8192,3,0.012856,5.22004231487243
8192,8192,5,0.018368,3.65357491289199
8192,8192,7,0.032638,2.05615736258349
8192,8192,9,0.04879,1.37546349661816
8192,8192,11,0.073451,0.913654871955453
8192,8192,13,0.102501,0.654714236934274
8192,8192,15,0.135414,0.495582908709587
4194304,768,3,0.666839,4.83058950061409
4194304,768,5,0.86899,3.70686138160393
4194304,768,7,1.434522,2.24550440634581
4194304,768,9,2.380988,1.35289445893889
4194304,768,11,3.519068,0.9153632359477
4194304,768,13,4.968144,0.648376027747988
4194304,768,15,6.546325,0.492066231358816
16777216,768,3,2.501668,5.15052432537011
16777216,768,5,3.231633,3.98711793325542
16777216,768,7,5.504241,2.34090438409219
16777216,768,9,9.283195,1.38798138873524
16777216,768,11,14.108096,0.913298427229302
16777216,768,13,19.990081,0.644564766295845
16777216,768,15,26.563908,0.48505294808279
