m,n,k,time (s),gigapixels per second
1024,768,3,0.000888,0.885657
1024,768,5,0.000319,2.467555
1024,768,7,0.000461,1.706652
1024,768,9,0.000915,0.859904
1024,768,11,0.000000,6898.526316
1024,768,13,0.000000,56173.714286
1024,768,15,0.000000,56173.714286
2048,2048,3,0.001205,3.480158
2048,2048,5,0.001678,2.499977
2048,2048,7,0.002431,1.725188
2048,2048,9,0.004745,0.883945
2048,2048,11,0.000000,44150.568421
2048,2048,13,0.000000,299593.142857
2048,2048,15,0.000000,182361.043478
8192,8192,3,0.080247,0.836274
8192,8192,5,0.034910,1.922361
8192,8192,7,0.040708,1.648557
8192,8192,9,0.078434,0.855609
8192,8192,11,0.000000,404270.265060
8192,8192,13,0.000000,4793490.285714
8192,8192,15,0.000000,4793490.285714
4194304,768,3,1.453697,2.215885
4194304,768,5,2.004217,1.607224
4194304,768,7,2.546789,1.264818
4194304,768,9,4.380977,0.735276
4194304,768,11,0.000000,9418787.929825
4194304,768,13,0.000000,146419339.636364
4194304,768,15,0.000000,140053281.391304
16777216,768,3,4.125559,3.123189
16777216,768,5,6.586223,1.956342
16777216,768,7,9.147036,1.408642
16777216,768,9,18.584855,0.693301
16777216,768,11,0.000000,49367440.183908
16777216,768,13,0.000000,858993459.200000
16777216,768,15,0.000000,585677358.545455
